Reference; Qty; Value; Description; Footprint; Datasheet
C1; 1; 3.3uF; Unpolarized capacitor; Capacitor_THT:C_Rect_L16.5mm_W7.0mm_P15.00mm_MKT; 
C2; 1; 33nF; Unpolarized capacitor; Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm; 
C3; 1; 330pF; Unpolarized capacitor; Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm; 
C4-C7; 4; 470nF; Polarized capacitor; Capacitor_THT:CP_Radial_D6.3mm_P2.50mm; 
D1-D4; 4; 1N4148; 100V 0.15A standard switching diode, DO-35; Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal; https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf
J1; 1; ±9V Supply; Generic screw terminal, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/); 1. Custom Footprints:Terminal Block 3 pos; 
J2; 1; Output; Generic screw terminal, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/); 1. Custom Footprints:Terminal Block 2 pos; 
R1; 1; 68k; Resistor; Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal; 
R2; 1; 51k; Resistor; Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal; 
R3,R7; 2; 5k1; Resistor; Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal; 
R4; 1; 1k; Resistor; Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal; 
R5,R8-R10; 4; 100k; Potentiometer for Simulation; Potentiometer_THT:Potentiometer_Alpha_RD901F-40-00D_Single_Vertical; 
R6; 1; 47k; Resistor; Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal; 
R11; 1; 100; Resistor; Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal; 
SW1; 1; Freq. range; Switch, three position, single pole triple throw, 3 position switch, SP3T; 1. Custom Footprints:Switch SP3T; 
SW2; 1; Wave form; Switch, three position, single pole triple throw, 3 position switch, SP3T; 1. Custom Footprints:Switch SP3T; 
U1,U2; 2; TL072IP; J-FET Amplifier 2 Circuit 8-PDIP; 1. Custom Footprints:8-Dip; https://www.ti.com/lit/ds/symlink/tl071.pdf?HQS=dis-dk-null-digikeymode-dsf-pf-null-wwe&ts=1721694323530
